"Character","Gender","female_ratio","male_ratio","known","total"
"Poro","Masculine",0.037593984962406,0.962406015037594,133,157
"Didone","Feminine",0.818181818181818,0.181818181818182,132,152
"Cleofide","Feminine",0.80188679245283,0.19811320754717,106,121
"Enea","Masculine",0.106796116504854,0.893203883495146,103,116
"Timante","Masculine",0.125,0.875,96,117
"Dircea","Feminine",0.873684210526316,0.126315789473684,95,125
"Arbace","Masculine",0.0106382978723404,0.98936170212766,94,101
"Mandane","Feminine",0.823529411764706,0.176470588235294,85,89
"Erissena","Feminine",0.79746835443038,0.20253164556962,79,94
"Selene","Feminine",0.81578947368421,0.184210526315789,76,89
"Creusa","Feminine",0.864406779661017,0.135593220338983,59,73
"Artaserse","Masculine",0.0363636363636364,0.963636363636364,55,60
"Gandarte","Masculine",0.0566037735849057,0.943396226415094,53,63
"Semira","Feminine",0.75,0.25,52,53
"Araspe","Masculine",0.148936170212766,0.851063829787234,47,52
"Cherinto","Masculine",0.152173913043478,0.847826086956522,46,63
"Megabise","Masculine",0.36,0.64,25,25
"Alessandro","Masculine",0,1,23,28
"Timagene","Masculine",0.210526315789474,0.789473684210526,19,23
"Adrasto","Masculine",0.538461538461538,0.461538461538462,13,18
"Iarba","Masculine",0,1,11,14
"Osmida","Masculine",0.25,0.75,8,15
"Artabano","Masculine",0,1,8,10
"Demofoonte","Masculine",0.5,0.5,6,10
"Emirena","Feminine",1,0,5,5
"Matusio","Masculine",0.25,0.75,4,5
"Sabina","Feminine",1,0,3,3
"Tamiri","Feminine",NA,NA,0,1
