"term","estimate","std_error","ci_low","ci_up","z_value","p_value","p_value_adj","pct_change","pct_low","pct_up"
"(Intercept)",0.0960498084388455,0.0502316849699865,-0.00240248498508985,0.194502101862781,1.91213590577811,0.0558587644766352,NA,10.081389244995,-0.23996013278148,21.4706036027767
"PartSop_AbsoluteIntervallicTrimRatio",0.0676212737137188,0.0207618185362587,0.00158985157663455,0.133652695850803,3.25700148065663,0.00112595845611265,0.0382825875078301,6.99600097540147,0.159111606067763,14.2995783524359
"PartSop_Ambitus",0.0879026490530462,0.0227091438296575,0.0156779034235097,0.160127394682583,3.87080418849819,0.000108476902324906,0.00368821467904679,9.18818211247865,1.58014465393403,17.3660379559823
"PartSop_AscendingIntervallicMean",0.0778468216572843,0.016207944532631,0.0262986576301525,0.129394985684416,4.80300395281815,1.56302798589769e-06,5.31429515205216e-05,8.09570667758255,2.66475188063475,13.8139584237382
"PartSop_AverageDuration",0.080594030209077,0.0241427511959337,0.00380980280697331,0.157378257611181,3.33822891827884,0.000843142554213209,0.0286668468432491,8.39307640868885,0.381706933076442,17.043825735827
"PartSop_DescendingIntervallicStd",0.0762263550859509,0.0177936108489511,0.019635097087131,0.132817613084771,4.28391717302529,1.83631296583249e-05,0.000624346408383045,7.9206830466781,1.98291334998202,14.2041685874589
"PartSop_DottedRhythm",-0.0231384493554819,0.0251944779014698,-0.103267615446112,0.0569907167351483,-0.918393683170234,0.358412796589342,1,-2.28728082219771,-9.81144173295462,5.86459826588421
"PartSop_HighestNoteIndex",-0.228545067430654,0.0247626039553202,-0.307300690505367,-0.14978944435594,-9.22944403759085,2.72040207609485e-20,9.24936705872247e-19,-20.4309563327157,-26.4570568990196,-13.9110777572104
"PartSop_IntervallicKurtosis",0.0324655516522056,0.0205201106258532,-0.0327971364244215,0.0977282397288327,1.58213336390606,0.113619128504538,1,3.2998307446076,-3.22651421690513,10.2663084368161
"PartSop_IntervallicMean",-0.048024088144512,0.0259585996948682,-0.130583486857391,0.0345353105683674,-1.85002614582504,0.0643097812911734,1,-4.68891718703772,-12.2416776775155,3.51385790623635
"PartSop_IntervallicTrimDiff",-0.00358562380907712,0.0178344203802742,-0.0603066734918627,0.0531354258737085,-0.201050762100629,0.840658881931955,1,-0.357920313635851,-5.85242363524724,5.45724518449549
"PartSop_IntervallicTrimRatio",0.0227339819061967,0.0261783565722832,-0.060524337236739,0.105992301049132,0.868426627295114,0.385160823262301,1,2.2994368335753,-5.87291391921295,11.1813316677481
"PartSop_IntervalsAugmentedAsc_Per",0.0206940903251579,0.0258937780028368,-0.0616591478097023,0.103047328460018,0.799191617495551,0.424179311760923,1,2.09096977102508,-5.9796697464223,10.8543873508863
"PartSop_IntervalsAugmentedDesc_Per",0.0583924630617201,0.0261344076884615,-0.0247260799197484,0.141511006043189,2.23431362048816,0.0254624447602141,0.865723121847279,6.01309763252282,-2.4422894409124,15.2013183297885
"PartSop_IntervalsBeyondOctaveAsc_Per",0.0399449566065689,0.0222915146449996,-0.0309515504131968,0.110841463626335,1.79193550742095,0.0731432973772912,1,4.07534860121395,-3.04774550951691,11.7217773159411
"PartSop_IntervalsBeyondOctaveDesc_Per",0.0514969374391925,0.0240903727375986,-0.0251207041656615,0.128114579044047,2.13765631607765,0.0325446474133117,1,5.28459618824166,-2.48078048362592,13.6683235314439
"PartSop_IntervalsDiminishedAsc_Per",0.0356813039874361,0.0260559863560762,-0.0471878257697407,0.118550433744613,1.36940906783655,0.17087144134701,1,3.63255210457429,-4.60917877811392,12.5863654190161
"PartSop_IntervalsDiminishedDesc_Per",-0.0972119159356391,0.0258406738946748,-0.17939626039786,-0.0150275714734182,-3.76197293971007,0.000168578290481561,0.00573166187637308,-9.26362990699238,-16.4225350624346,-1.49152210101633
"PartSop_IntervalsMajorAll_Per",0.033575199479613,0.0149596792552216,-0.0140029495255812,0.0811533484848072,2.24437963587313,0.0248079856217183,0.843471511138424,3.41452079838107,-1.3905364252781,8.45371959512713
"PartSop_IntervalsMajorAsc_Per",0.037894722180701,0.0157470690546743,-0.012187661612178,0.08797710597358,2.40646192946315,0.0161078828158221,0.547668015737952,3.86218832756073,-1.2113692871339,9.19631223094546
"PartSop_IntervalsMinorAll_Per",-0.0743359729561673,0.021860561470637,-0.143861865406311,-0.00481008050602394,-3.40046037042621,0.00067272486433924,0.0228726453875341,-7.16402623256494,-13.3992634627082,-0.479853059487489
"PartSop_IntervalsPerfectAll_Per",0.0209677706173479,0.0145221064614612,-0.0252187106102847,0.0671542518449805,1.44385187321083,0.148780646788087,1,2.11891388116365,-2.49033752727956,6.94604316968035
"PartSop_IntervalsPerfectAsc_Per",-0.0134929358122896,0.0229979507564919,-0.0866362104265876,0.0596503388020084,-0.586701656819613,0.557404094845182,1,-1.34023141956372,-8.29893661320829,6.14653284104942
"PartSop_IntervalsPerfectDesc_Per",0.0439652906504667,0.0232428543772763,-0.029956881743844,0.117887463044777,1.89156159294488,0.0585494172181177,1,4.494608486009,-2.95126216302595,12.5117486946264
"PartSop_IntervalsWithinOctaveDesc_Per",-0.00171349008234427,0.0152130392973595,-0.0500974318877145,0.0466704517230259,-0.112632988639008,0.910321530305311,1,-0.171202289633565,-4.88632510629138,4.77766591853617
"PartSop_LargestSemitonesAsc",0.0668088401763888,0.0215381244708581,-0.00169156533927262,0.13530924569205,3.10188755138748,0.00192290986725034,0.0653789354865116,6.90910913754987,-0.169013544898866,14.4890782154595
"PartSop_LargestSemitonesDesc",-0.0506325607096931,0.0222662748470635,-0.121448794426364,0.0201836730069774,-2.27395741126273,0.0229685472961102,0.780930608067748,-4.9372095590084,-11.4363598292204,2.03887406842951
"PartSop_LeapsAsc_Per",0.0148729832587221,0.0195077500827225,-0.0471699672856822,0.0769159338031263,0.76241407623397,0.4458129076581,1,1.4984136450414,-4.60747522744244,7.9951285179064
"PartSop_LeapsDesc_Per",0.0341287723062679,0.0203590278523651,-0.0306216039708589,0.0988791485833947,1.67634587239406,0.0936704645418858,1,3.47178411522235,-3.01575118015381,10.3932879644709
"PartSop_RhythmInt",0.000944305762904899,0.0232529141342497,-0.073009860941449,0.0748984724672588,0.0406102115826424,0.967606643208054,1,0.0944751759966556,-7.04083366683669,7.7774721521352
"PartSop_StepwiseMotionAll_Per",-0.0295323587103751,0.0145446777085066,-0.0757906261131547,0.0167259086924045,-2.03045810311099,0.042309995757114,1,-2.91005399215509,-7.29897220130237,1.6866569837392
"PartSop_SyllabicRatio",0.0618838009088177,0.0242135375506219,-0.0151255572379649,0.1388931590556,2.55575216051933,0.0105958557821098,0.360259096591735,6.38387204531774,-1.50117405665274,14.9001333057913
"PartSop_VoicePresence",0.0844238016530971,0.0261274988372741,0.00132723175979726,0.167520371546397,3.23122401340063,0.00123261295076757,0.0419088403260975,8.80899304191167,0.132811292166157,18.2369376632196
"PartSop_LargestIntervalAll_M9",0.00203971472720835,0.0258461990205541,-0.0801622019875905,0.0842416314420072,0.0789173961550893,0.937098326265178,1,0.20417963603645,-7.70333727768242,8.78917309003797
"PartSop_LargestIntervalAll_P8",-0.0390535935278197,0.0246466303041837,-0.117440371016989,0.0393331839613491,-1.58454089041091,0.113070684089258,1,-3.83008330858422,-11.080646812833,4.01169762184721
