"term","estimate","std_error","ci_low","ci_up","z_value","p_value","p_value_adj","pct_change","pct_low","pct_up"
"(Intercept)",0.176356439949804,0.0585058166812979,0.0616871463683576,0.291025733531251,3.01434028193266,0.00257538772463734,NA,19.2863166970733,6.36295323080565,33.779900979971
"PartSop_AbsoluteIntervallicTrimRatio",0.076179860527928,0.0196348772165679,0.0135678644582433,0.138791856597613,3.87982362648275,0.000104532235385002,0.00365862823847507,7.91566543886495,1.36603256248509,14.8884942294078
"PartSop_Ambitus",0.0672024160582673,0.0203440876043809,0.00232887908233953,0.132075953034195,3.30328975007932,0.000955575960421158,0.0334451586147405,6.95119426576198,0.233159302763752,14.1194993197961
"PartSop_AscendingIntervallicMean",0.0613477752661535,0.014254462874994,0.015892926546677,0.10680262398563,4.30375916680616,1.67924201664943e-05,0.0005877347058273,6.32686284249784,1.60198908233375,11.2714609628946
"PartSop_AverageDuration",0.0278673350774298,0.0223579997756563,-0.0434281957598188,0.0991628659146783,1.24641449848175,0.212612261183675,1,2.8259261437052,-4.24986957237139,10.4246128970268
"PartSop_DescendingIntervallicStd",0.0763953716694385,0.0157791999137733,0.0260784182152914,0.126712325123586,4.84152378364602,1.28847250491192e-06,4.50965376719172e-05,7.93892497336495,2.64214354546835,13.5090433808472
"PartSop_DottedRhythm",-0.0314576924398625,0.0237024333816179,-0.107040373674028,0.0441249887943027,-1.32719252632766,0.184445004017133,1,-3.09680470358724,-10.1510603060018,4.511297413585
"PartSop_HighestNoteIndex",-0.167513420609974,0.0229800815260527,-0.240792655225007,-0.0942341859949409,-7.28950506202785,3.11095746701311e-13,1.08883511345459e-11,-15.4234733473094,-21.3995416562888,-8.99303882741791
"PartSop_IntervallicKurtosis",0.0471627495336791,0.0183824371355427,-0.0114554464951019,0.10578094556246,2.5656418235474,0.0102985110727373,0.360447887545806,4.82926043296443,-1.13900826964821,11.1578353664082
"PartSop_IntervallicMean",-0.0494885949086945,0.0245462901740514,-0.127762179558677,0.0287849897412884,-2.01613337729586,0.0437860306911101,1,-4.8283987517416,-11.9937348852835,2.92032814198899
"PartSop_IntervallicTrimDiff",-0.00617281619499375,0.0168132974269894,-0.0597873155782044,0.0474416831882169,-0.367138939984783,0.713515382422522,1,-0.615380350583239,-5.80351464687474,4.85850492012572
"PartSop_IntervallicTrimRatio",0.0101197366940898,0.0248347490898678,-0.0690736901481386,0.0893131635363183,0.407482944863675,0.683653318001524,1,1.01711143928105,-6.6742094369084,9.34230229357174
